날짜,매매지수,전세지수,월세지수,KB주택매매가격지수,KB주택전세가격지수,아파트매매실거래가격지수,아파트매매가격지수,아파트전세가격지수,아파트월세통합가격지수,한국은행 기준금리,정부대출금리,국민주택채권1종(5년),소비자물가지수(총지수),소비자물가지수(주택임차료),소비자물가지수(전세),소비자물가지수(월세),생산자물가지수,수입물가지수,수출물가지수,기대인플레이션
2018-01-01,89.8,95.5,99.8,65.602,78.247,103.0,87.0,92.9,98.2,1.5,1.638,2.598681818,98.106,99.725,99.051,100.482,102.52,101.04,103.37,2.5
2018-02-01,90.0,95.4,99.7,66.249,78.341,104.8,88.2,93.1,98.3,1.5,1.638,2.702944444,98.855,99.792,99.171,100.472,102.95,102.27,103.84,2.5
2018-03-01,90.1,95.2,99.7,67.08,78.433,106.1,88.9,93.0,98.2,1.5,1.638,2.688142857,98.751,99.821,99.282,100.422,102.91,100.82,104.39,2.5
2018-04-01,90.1,95.1,99.6,67.624,78.427,107.4,89.2,92.7,98.1,1.5,1.651,2.61152381,98.931,99.859,99.402,100.382,103.04,101.0,105.53,2.5
2018-05-01,90.1,94.8,99.5,67.893,78.372,107.9,89.4,92.3,97.9,1.5,1.651,2.69085,98.979,99.898,99.486,100.352,103.34,102.75,108.64,2.5
2018-06-01,90.1,94.6,99.3,68.158,78.343,108.6,89.6,92.1,97.8,1.5,1.651,2.603263158,98.779,99.898,99.55,100.292,103.37,103.55,110.01,2.6
2018-07-01,90.1,94.4,99.2,68.518,78.37,110.3,89.9,92.1,97.8,1.5,1.652,2.489818182,98.59,99.917,99.606,100.262,103.85,106.14,111.5,2.6
2018-08-01,90.1,94.2,99.1,69.318,78.507,115.0,90.7,92.4,97.9,1.5,1.652,2.355909091,99.462,99.936,99.661,100.242,104.32,106.09,111.18,2.6
2018-09-01,90.4,94.1,99.0,71.976,78.973,121.5,92.3,92.7,98.0,1.5,1.652,2.244705882,100.221,99.936,99.689,100.212,104.62,106.3,113.03,2.7
2018-10-01,90.5,94.1,98.9,73.3,79.35,122.4,92.9,92.9,98.0,1.5,1.685,2.297380952,100.041,99.946,99.726,100.202,104.26,106.82,115.02,2.6
2018-11-01,90.7,94.0,98.9,73.589,79.444,120.7,92.9,92.9,98.0,1.75,1.685,2.183363636,99.33,99.955,99.754,100.182,103.53,103.48,109.36,2.5
2018-12-01,90.6,93.8,98.7,73.669,79.368,119.1,92.8,92.7,97.9,1.75,1.685,1.98815,98.988,99.936,99.781,100.122,103.03,100.61,105.31,2.5
2019-01-01,90.5,93.6,98.7,73.659,79.288,117.9,92.4,92.2,97.7,1.75,1.851,1.967181818,98.884,99.926,99.781,100.092,102.92,99.23,105.14,2.4
2019-02-01,90.4,93.4,98.6,73.591,79.018,117.1,92.1,91.6,97.5,1.75,1.851,1.947,99.311,99.917,99.8,100.052,103.02,99.65,107.47,2.4
2019-03-01,90.3,93.1,98.5,73.467,78.795,116.1,91.7,91.0,97.4,1.75,1.851,1.9183,99.121,99.879,99.8,99.972,103.38,99.84,109.28,2.4
2019-04-01,90.1,92.9,98.3,73.361,78.665,116.1,91.4,90.7,97.3,1.75,1.867,1.847,99.481,99.84,99.772,99.912,103.68,100.51,111.21,2.2
2019-05-01,89.9,92.7,98.2,73.316,78.588,117.3,91.2,90.6,97.2,1.75,1.867,1.795142857,99.652,99.811,99.744,99.872,103.79,103.07,113.57,2.3
2019-06-01,89.8,92.5,98.1,73.261,78.529,119.7,91.1,90.5,97.2,1.75,1.867,1.607,99.491,99.744,99.67,99.832,103.5,100.79,109.36,2.2
2019-07-01,89.7,92.3,98.0,73.531,78.553,122.2,91.2,90.5,97.2,1.5,1.696,1.481826087,99.187,99.725,99.643,99.822,103.5,100.44,110.23,2.2
2019-08-01,89.7,92.2,97.9,73.828,78.645,123.9,91.3,90.7,97.3,1.5,1.696,1.258142857,99.425,99.696,99.615,99.792,103.74,101.81,111.01,2.1
2019-09-01,89.7,92.2,97.9,74.158,78.747,125.3,91.5,90.8,97.3,1.5,1.696,1.440894737,99.794,99.696,99.615,99.792,103.8,100.96,110.73,1.9
2019-10-01,89.8,92.3,97.9,74.587,78.934,127.2,92.0,91.1,97.4,1.25,1.393,1.555952381,100.041,99.706,99.615,99.812,103.56,98.87,108.14,1.8
2019-11-01,90.0,92.4,97.9,75.007,79.1,129.5,92.7,91.5,97.4,1.25,1.393,1.704428571,99.481,99.715,99.624,99.812,103.41,96.74,107.11,1.8
2019-12-01,90.3,92.6,97.9,75.81,79.399,131.8,93.8,92.0,97.6,1.25,1.393,1.611904762,99.719,99.735,99.633,99.842,103.7,97.41,108.83,1.8
2020-01-01,90.6,92.9,97.9,76.315,79.681,132.8,94.2,92.7,97.7,1.25,1.432,1.5846,100.09,99.79,99.7,99.89,104.08,96.75,107.94,1.8
2020-02-01,90.9,93.1,98.0,76.708,79.885,134.7,94.3,92.9,97.8,1.25,1.432,1.4627,100.16,99.81,99.73,99.9,103.74,97.63,106.39,1.8
2020-03-01,91.4,93.2,98.0,77.269,80.032,135.7,94.4,93.1,97.8,0.75,1.432,1.395636364,99.94,99.83,99.76,99.92,102.82,96.08,100.7,1.8
2020-04-01,91.6,93.3,98.0,77.388,80.087,134.6,94.3,93.2,97.9,0.75,1.096,1.41185,99.5,99.86,99.8,99.93,101.93,94.0,95.01,1.8
2020-05-01,91.7,93.4,98.0,77.388,80.133,135.3,94.1,93.2,97.9,0.5,1.096,1.301,99.44,99.88,99.85,99.92,101.96,94.46,98.82,1.7
2020-06-01,92.1,93.7,98.1,77.788,80.416,140.2,94.3,93.5,97.9,0.5,1.096,1.282181818,99.71,99.91,99.89,99.93,102.48,95.01,101.26,1.7
2020-07-01,92.7,94.0,98.1,79.452,81.22,147.4,95.3,93.9,98.0,0.5,0.712,1.24573913,99.63,99.96,99.97,99.95,102.71,95.08,100.42,1.7
2020-08-01,93.1,94.4,98.2,81.083,82.177,152.1,95.8,94.5,98.2,0.5,0.712,1.23065,100.19,100.03,100.04,100.01,103.22,95.03,99.34,1.8
2020-09-01,93.5,94.9,98.4,82.701,83.896,154.2,96.1,95.1,98.3,0.5,0.712,1.328285714,100.74,100.09,100.11,100.06,103.42,94.99,98.23,1.9
2020-10-01,93.8,95.3,98.5,83.317,85.035,155.5,96.2,95.5,98.5,0.5,0.736,1.340157895,100.18,100.19,100.25,100.11,103.01,92.73,96.06,1.9
2020-11-01,94.3,95.9,98.7,84.6,87.388,158.3,96.4,96.3,98.7,0.5,0.736,1.422095238,100.09,100.28,100.38,100.16,103.09,92.3,96.05,1.8
2020-12-01,95.2,96.9,99.0,85.713,89.124,161.7,96.6,97.2,99.1,0.5,0.736,1.463409091,100.33,100.37,100.5,100.22,103.9,92.84,98.02,1.8
2021-01-01,95.9,97.6,99.2,87.087,90.48,166.8,97.0,97.9,99.4,0.5,0.756,1.4585,101.04,100.46,100.62,100.27,105.05,94.89,101.64,1.8
2021-02-01,96.8,98.2,99.4,88.48,91.476,169.1,97.7,98.5,99.6,0.5,0.756,1.471111111,101.58,100.64,100.85,100.38,105.91,98.23,106.12,2.0
2021-03-01,97.5,98.6,99.6,89.658,92.208,169.7,98.1,98.9,99.7,0.5,0.756,1.687681818,101.84,100.84,101.15,100.46,107.04,101.78,109.81,2.1
2021-04-01,98.2,99.0,99.7,90.512,92.723,171.1,98.6,99.1,99.7,0.5,0.601,1.736227273,101.98,100.98,101.35,100.53,108.06,104.46,109.56,2.1
2021-05-01,98.9,99.3,99.8,91.424,93.393,174.2,99.0,99.3,99.8,0.5,0.601,1.810789474,102.05,101.14,101.59,100.6,108.65,106.39,112.81,2.1
2021-06-01,100.0,100.0,100.0,92.941,94.774,178.2,100.0,100.0,100.0,0.5,0.601,1.8575,102.05,101.25,101.73,100.67,109.22,107.4,115.88,2.2
2021-07-01,100.9,100.6,100.2,94.133,95.815,182.2,100.8,100.7,100.2,0.5,0.603,1.819136364,102.26,101.39,101.94,100.73,110.28,111.58,120.05,2.3
2021-08-01,101.8,101.2,100.5,95.633,96.876,185.7,101.7,101.4,100.4,0.75,0.603,1.784809524,102.75,101.58,102.2,100.82,110.86,113.0,121.61,2.4
2021-09-01,102.8,101.8,100.7,97.252,97.866,188.6,102.7,102.1,100.7,0.75,0.603,1.903789474,103.17,101.76,102.47,100.9,111.27,114.38,124.4,2.4
2021-10-01,103.7,102.5,101.1,98.269,98.344,189.2,103.5,102.7,101.1,0.75,0.87,2.256368421,103.35,101.93,102.71,100.99,112.43,116.93,130.92,2.4
2021-11-01,104.3,102.9,101.4,99.31,99.246,185.7,104.1,103.2,101.3,1.0,0.87,2.310227273,103.87,102.18,103.02,101.16,113.23,115.84,129.63,2.7
2021-12-01,104.6,103.2,101.6,99.768,99.696,183.0,104.4,103.5,101.6,1.0,0.87,2.144086957,104.04,102.42,103.35,101.28,113.21,114.43,127.04,2.7
2022-01-01,104.7,103.3,101.7,100.0,100.0,182.1,104.4,103.5,101.8,1.25,1.1,2.4164,104.85,102.56,103.54,101.36,114.4,115.8,132.67,2.7
2022-02-01,104.8,103.2,101.9,100.092,100.109,180.3,104.3,103.4,101.8,1.25,1.1,2.631722222,105.42,102.72,103.72,101.49,114.95,118.32,138.73,2.8
2022-03-01,104.8,103.2,102.0,100.147,100.087,182.2,104.2,103.3,101.9,1.25,1.1,2.73347619,106.1,102.88,103.97,101.54,116.7,125.6,149.23,2.9
2022-04-01,104.8,103.2,102.2,100.256,100.152,183.8,104.2,103.2,102.0,1.5,1.316,3.221809524,106.83,102.98,104.15,101.56,118.59,127.45,148.38,3.2
2022-05-01,104.8,103.2,102.3,100.469,100.412,181.2,104.2,103.2,102.0,1.75,1.316,3.288095238,107.5,103.13,104.37,101.6,119.43,131.32,154.0,3.4
2022-06-01,104.8,103.2,102.5,100.603,100.579,181.2,104.1,103.1,102.1,1.75,1.316,3.70475,108.21,103.22,104.52,101.62,120.1,132.61,154.87,4.0
2022-07-01,104.8,103.1,102.7,100.638,100.641,173.9,103.9,103.0,102.2,2.25,1.912,3.393142857,108.73,103.33,104.7,101.66,120.44,129.35,150.78,5.1
2022-08-01,104.5,102.8,102.8,100.492,100.5,168.7,103.4,102.7,102.3,2.5,1.912,3.385045455,108.63,103.46,104.87,101.74,119.98,127.64,149.46,5.1
2022-09-01,103.9,102.3,102.9,100.297,100.308,164.5,102.6,102.1,102.4,2.5,1.912,4.0271,108.82,103.58,105.02,101.84,120.06,131.24,154.51,5.1
2022-10-01,103.1,101.4,103.0,99.627,99.642,156.6,101.4,100.6,102.6,3.0,2.808,4.521526316,109.16,103.65,105.14,101.86,120.68,132.74,156.3,5.2
2022-11-01,101.7,99.9,102.9,98.216,97.462,148.1,99.3,97.7,102.5,3.25,2.808,4.388136364,109.07,103.77,105.29,101.92,120.29,125.51,147.72,5.1
2022-12-01,99.7,97.4,102.6,96.81,94.259,142.6,96.3,93.0,102.1,3.25,2.808,3.929318182,109.26,103.84,105.35,102.01,119.79,117.83,138.11,5.0
2023-01-01,98.2,95.2,102.2,94.784,90.504,144.4,94.6,88.8,101.5,3.5,3.544,3.64275,110.07,103.91,105.42,102.07,120.25,114.37,135.2,5.0
2023-02-01,97.1,93.5,101.9,93.65,88.125,147.2,93.6,85.8,101.0,3.5,3.544,3.60855,110.33,103.9,105.37,102.12,120.46,115.25,137.82,5.2
2023-03-01,96.3,92.4,101.7,92.553,86.543,149.5,92.9,84.1,100.6,3.5,3.544,3.601,110.52,103.85,105.2,102.21,120.59,117.79,138.87,5.1
2023-04-01,95.9,91.9,101.5,91.656,85.473,151.6,92.6,83.5,100.4,3.5,3.534,3.4034,110.77,103.82,105.07,102.3,120.5,118.21,139.45,4.9
2023-05-01,95.7,91.6,101.4,90.854,84.835,153.6,92.6,83.4,100.3,3.5,3.534,3.5387,111.13,103.77,104.92,102.35,120.03,116.43,135.1,4.7
2023-06-01,95.6,91.4,101.3,90.595,84.73,156.4,92.7,83.5,100.4,3.5,3.534,3.761857143,111.16,103.7,104.79,102.37,119.77,112.7,129.89,4.6
2023-07-01,95.7,91.4,101.2,90.39,84.523,157.9,93.0,83.8,100.4,3.5,3.618,3.857857143,111.29,103.64,104.63,102.44,120.08,112.81,130.21,4.3
2023-08-01,95.8,91.5,101.2,90.339,84.554,159.8,93.4,84.3,100.5,3.5,3.618,4.000636364,112.28,103.64,104.55,102.52,121.17,117.55,135.68,4.2
2023-09-01,96.0,91.8,101.3,90.578,84.912,161.3,93.9,84.9,100.7,3.5,3.618,4.140842105,112.83,103.65,104.51,102.59,121.72,119.62,139.71,4.1
2023-10-01,96.2,92.1,101.5,90.787,85.442,160.9,94.2,85.5,100.9,3.5,3.706,4.485263158,113.26,103.66,104.48,102.65,121.56,120.34,140.9,4.1
2023-11-01,96.3,92.4,101.6,90.821,85.976,158.4,94.4,86.1,101.1,3.5,3.706,4.116863636,112.67,103.74,104.55,102.73,121.02,116.16,134.75,4.1
2023-12-01,96.2,92.5,101.7,90.725,86.378,156.8,94.2,86.6,101.3,3.5,3.706,3.63595,112.71,103.74,104.47,102.81,121.19,114.95,132.52,3.9
2024-01-01,96.0,92.5,101.8,90.551,86.767,157.3,94.1,86.8,101.4,3.5,3.623,3.544454545,113.15,103.74,104.42,102.87,121.83,118.51,135.87,3.8
2024-02-01,95.9,92.6,101.9,90.442,87.009,158.3,93.9,87.0,101.6,3.5,3.623,3.575578947,113.77,103.77,104.41,102.95,122.21,120.39,137.24,3.8
