날짜,무담보콜금리 전체,  무담보콜금리(1일),"    무담보콜금리(1일, 중개거래)",KORIBOR(3개월),KORIBOR(6개월),KORIBOR(12개월),CD(91일),CP(91일),국민주택채권1종(5년),국고채(1년),국고채(3년),국고채(5년),국고채(10년),국고채(20년),국고채(30년),국고채(50년),통안증권(91일),통안증권(1년),통안증권(2년),산금채(1년),"회사채(3년, AA-)","회사채(3년, BBB-)","회사채(3년, AA-, 민평)",MMF(7일),CMA(수시형)
2018-01-01,1.5,1.49,1.49,1.65,1.75,1.95,1.66,1.8,2.599,1.839,2.19,2.444,2.626,2.571,2.544,2.544,1.535,1.838,2.125,1.94,2.722,8.985,2.589,1.56,1.22
2018-02-01,1.49,1.49,1.49,1.64,1.73,1.98,1.65,1.8,2.703,1.851,2.277,2.537,2.77,2.738,2.706,2.708,1.535,1.856,2.181,1.979,2.815,9.051,2.683,1.58,1.22
2018-03-01,1.49,1.49,1.49,1.64,1.78,2.05,1.65,1.81,2.688,1.875,2.271,2.501,2.708,2.704,2.68,2.678,1.551,1.894,2.181,2.004,2.831,9.051,2.704,1.59,1.22
2018-04-01,1.48,1.47,1.47,1.65,1.79,1.99,1.65,1.82,2.612,1.873,2.192,2.436,2.655,2.671,2.666,2.653,1.553,1.871,2.11,1.987,2.794,9.013,2.647,1.6,1.22
2018-05-01,1.5,1.5,1.5,1.65,1.8,2,1.65,1.82,2.691,1.887,2.25,2.532,2.757,2.754,2.732,2.721,1.562,1.887,2.157,2.013,2.86,9.073,2.706,1.6,1.22
2018-06-01,1.49,1.49,1.49,1.67,1.81,2.01,1.65,1.82,2.603,1.851,2.175,2.442,2.656,2.649,2.625,2.604,1.552,1.858,2.103,1.984,2.805,9.016,2.642,1.61,1.22
2018-07-01,1.49,1.49,1.49,1.68,1.82,2,1.65,1.82,2.49,1.842,2.097,2.338,2.549,2.547,2.534,2.466,1.546,1.848,2.028,1.97,2.75,8.957,2.556,1.62,1.22
2018-08-01,1.5,1.5,1.5,1.67,1.81,1.97,1.65,1.81,2.356,1.83,2.019,2.242,2.458,2.429,2.409,2.34,1.568,1.836,1.968,1.944,2.656,8.846,2.424,1.62,1.22
2018-09-01,1.54,1.54,1.54,1.67,1.85,1.97,1.65,1.81,2.245,1.79,1.953,2.128,2.315,2.265,2.237,2.167,1.585,1.82,1.915,1.918,2.403,8.476,2.374,1.65,1.22
2018-10-01,1.52,1.52,1.52,1.76,1.96,2.08,1.68,1.82,2.297,1.853,2.01,2.164,2.338,2.284,2.256,2.185,1.663,1.901,1.993,2.006,2.452,8.515,2.451,1.66,1.22
2018-11-01,1.51,1.51,1.51,1.81,1.99,2.07,1.71,1.85,2.183,1.844,1.94,2.048,2.209,2.159,2.087,2.017,1.706,1.896,1.942,2.002,2.403,8.454,2.417,1.67,1.22
2018-12-01,1.77,1.77,1.77,1.89,1.99,2.02,1.91,1.97,1.988,1.776,1.825,1.893,1.992,1.969,1.93,1.92,1.751,1.854,1.862,1.958,2.304,8.373,2.28,1.79,1.46
2019-01-01,1.76,1.75,1.75,1.86,1.91,1.94,1.87,1.97,1.967,1.733,1.807,1.879,1.991,2.023,2.003,1.991,1.747,1.808,1.826,1.901,2.263,8.343,2.235,1.83,1.46
2019-02-01,1.76,1.76,1.76,1.86,1.91,1.94,1.87,1.97,1.947,1.76,1.802,1.869,1.988,2.05,2.031,2.016,1.758,1.831,1.827,1.891,2.249,8.329,2.183,1.84,1.46
2019-03-01,1.76,1.76,1.76,1.87,1.91,1.94,1.9,1.98,1.918,1.769,1.789,1.838,1.953,1.995,1.989,1.964,1.767,1.831,1.824,1.885,2.244,8.318,2.137,1.84,1.46
2019-04-01,1.75,1.75,1.75,1.84,1.86,1.87,1.86,1.98,1.847,1.751,1.736,1.771,1.889,1.913,1.902,1.879,1.755,1.77,1.749,1.844,2.207,8.28,2.058,1.82,1.46
2019-05-01,1.75,1.75,1.75,1.8,1.82,1.83,1.84,1.95,1.795,1.711,1.679,1.716,1.828,1.865,1.858,1.85,1.718,1.715,1.704,1.784,2.153,8.224,1.974,1.78,1.46
2019-06-01,1.76,1.76,1.76,1.72,1.72,1.71,1.8,1.93,1.607,1.56,1.496,1.53,1.618,1.66,1.662,1.656,1.596,1.566,1.533,1.631,2.004,8.097,1.81,1.76,1.46
2019-07-01,1.63,1.63,1.63,1.63,1.61,1.58,1.68,1.86,1.482,1.478,1.382,1.421,1.506,1.52,1.514,1.513,1.516,1.467,1.413,1.534,1.885,7.989,1.714,1.71,1.36
2019-08-01,1.51,1.51,1.51,1.46,1.41,1.38,1.49,1.73,1.258,1.186,1.164,1.201,1.254,1.251,1.245,1.245,1.323,1.217,1.175,1.323,1.689,7.791,1.513,1.6,1.2
2019-09-01,1.52,1.52,1.52,1.49,1.47,1.48,1.54,1.72,1.441,1.228,1.287,1.353,1.42,1.386,1.38,1.38,1.293,1.287,1.318,1.418,1.792,7.894,1.696,1.54,1.2
2019-10-01,1.36,1.35,1.35,1.46,1.48,1.48,1.46,1.69,1.556,1.298,1.357,1.442,1.577,1.568,1.556,1.556,1.306,1.334,1.355,1.441,1.861,7.97,1.768,1.48,1.08
2019-11-01,1.28,1.28,1.28,1.48,1.53,1.6,1.52,1.65,1.704,1.386,1.492,1.593,1.75,1.709,1.681,1.682,1.323,1.421,1.479,1.526,2.002,8.112,1.897,1.39,0.96
2019-12-01,1.28,1.28,1.28,1.51,1.55,1.57,1.53,1.67,1.612,1.35,1.39,1.481,1.653,1.628,1.597,1.596,1.332,1.379,1.399,1.504,1.948,8.059,1.813,1.42,0.96
2020-01-01,1.27,1.27,1.27,1.45,1.46,1.48,1.47,1.69,1.585,1.316,1.373,1.479,1.656,1.669,1.64,1.639,1.295,1.338,1.37,1.432,1.955,8.068,1.783,1.46,0.96
2020-02-01,1.24,1.24,1.24,1.34,1.35,1.36,1.42,1.65,1.463,1.214,1.253,1.357,1.54,1.561,1.557,1.557,1.207,1.228,1.233,1.297,1.847,7.971,1.661,1.4,0.96
2020-03-01,0.98,0.98,0.98,1.16,1.18,1.22,1.23,1.65,1.396,1.03,1.091,1.266,1.485,1.546,1.547,1.547,0.996,1.047,1.08,1.196,1.84,8.005,1.577,1.33,0.73
2020-04-01,0.74,0.74,0.74,1.06,1.08,1.16,1.1,2.12,1.412,0.893,1.024,1.26,1.504,1.608,1.62,1.62,0.76,0.873,0.988,1.09,2.145,8.367,1.737,1.19,0.46
2020-05-01,0.7,0.7,0.7,0.91,0.93,1.04,1.02,1.92,1.301,0.779,0.878,1.129,1.394,1.513,1.531,1.531,0.671,0.735,0.844,0.957,2.179,8.44,1.634,1.1,0.45
2020-06-01,0.48,0.48,0.48,0.67,0.7,0.88,0.79,1.56,1.282,0.719,0.85,1.127,1.392,1.545,1.573,1.572,0.612,0.672,0.787,0.805,2.218,8.515,1.603,0.99,0.25
2020-07-01,0.48,0.48,0.48,0.64,0.67,0.81,0.79,1.48,1.246,0.689,0.826,1.094,1.36,1.549,1.558,1.56,0.594,0.63,0.764,0.77,2.219,8.544,1.522,0.87,0.24
2020-08-01,0.51,0.5,0.5,0.58,0.67,0.8,0.68,1.43,1.231,0.671,0.829,1.092,1.373,1.561,1.568,1.568,0.588,0.62,0.746,0.752,2.192,8.542,1.461,0.73,0.24
2020-09-01,0.48,0.48,0.48,0.65,0.78,0.9,0.63,1.21,1.328,0.705,0.908,1.194,1.5,1.638,1.639,1.639,0.636,0.689,0.836,0.831,2.239,8.59,1.509,0.64,0.24
2020-10-01,0.5,0.51,0.51,0.66,0.82,0.9,0.63,1.11,1.34,0.68,0.91,1.196,1.507,1.633,1.641,1.641,0.632,0.698,0.834,0.846,2.239,8.598,1.494,0.62,0.24
2020-11-01,0.5,0.49,0.49,0.65,0.81,0.91,0.66,1.1,1.422,0.7,0.965,1.295,1.61,1.715,1.714,1.714,0.647,0.715,0.871,0.865,2.247,8.636,1.498,0.61,0.24
2020-12-01,0.51,0.51,0.51,0.75,0.86,0.92,0.66,1.09,1.463,0.719,0.97,1.323,1.675,1.78,1.781,1.781,0.656,0.727,0.892,0.879,2.211,8.619,1.416,0.62,0.24
2021-01-01,0.49,0.49,0.49,0.75,0.82,0.88,0.68,1.03,1.459,0.695,0.975,1.316,1.731,1.838,1.841,1.841,0.55,0.69,0.883,0.829,2.143,8.543,1.347,0.66,0.24
2021-02-01,0.49,0.49,0.49,0.74,0.8,0.87,0.73,1,1.471,0.671,0.995,1.348,1.845,1.978,1.985,1.984,0.507,0.684,0.865,0.818,2.055,8.439,1.313,0.64,0.24
2021-03-01,0.49,0.49,0.49,0.75,0.8,0.88,0.75,1,1.688,0.684,1.133,1.55,2.04,2.113,2.103,2.103,0.501,0.681,0.905,0.828,2.091,8.459,1.494,0.66,0.24
2021-04-01,0.48,0.48,0.48,0.72,0.76,0.85,0.74,0.98,1.736,0.659,1.138,1.577,2.041,2.151,2.142,2.143,0.486,0.66,0.906,0.793,1.983,8.351,1.506,0.64,0.24
2021-05-01,0.48,0.48,0.48,0.66,0.71,0.81,0.68,0.97,1.811,0.611,1.134,1.647,2.131,2.252,2.248,2.249,0.472,0.639,0.927,0.763,1.891,8.259,1.523,0.61,0.24
2021-06-01,0.51,0.51,0.51,0.65,0.72,1.04,0.66,0.97,1.858,0.798,1.302,1.701,2.103,2.199,2.191,2.191,0.503,0.861,1.159,1.018,1.913,8.29,1.667,0.6,0.24
2021-07-01,0.53,0.53,0.53,0.77,0.87,1.15,0.69,0.97,1.819,0.91,1.419,1.686,1.976,2.053,2.043,2.044,0.599,0.936,1.259,1.121,1.888,8.245,1.806,0.63,0.24
2021-08-01,0.56,0.56,0.56,0.79,0.96,1.21,0.77,1,1.785,1.001,1.411,1.653,1.905,1.968,1.959,1.959,0.67,1.005,1.264,1.171,1.838,8.17,1.834,0.63,0.27
2021-09-01,0.77,0.77,0.77,0.93,1.09,1.32,0.98,1.15,1.904,1.073,1.515,1.786,2.061,2.081,2.064,2.064,0.77,1.069,1.364,1.285,1.953,8.197,1.953,0.75,0.47
2021-10-01,0.75,0.74,0.74,1.02,1.21,1.47,1.08,1.2,2.256,1.178,1.842,2.154,2.399,2.358,2.311,2.311,0.805,1.204,1.651,1.435,2.302,8.376,2.307,0.84,0.47
2021-11-01,0.8,0.796,0.796,1.2,1.43,1.71,1.17,1.34,2.31,1.339,1.953,2.174,2.355,2.356,2.321,2.32,0.893,1.339,1.815,1.628,2.492,8.374,2.494,0.94,0.5
2021-12-01,1.024,1.012,1.012,1.36,1.58,1.76,1.27,1.54,2.144,1.32,1.8,1.981,2.187,2.244,2.221,2.22,1,1.317,1.702,1.654,2.41,8.263,2.408,1.14,0.72
2022-01-01,1.181,1.188,1.188,1.45,1.62,1.8,1.39,1.6,2.416,1.422,2.06,2.279,2.492,2.48,2.423,2.403,1.181,1.424,1.893,1.742,2.632,8.506,2.627,1.33,0.84
2022-02-01,1.211,1.219,1.219,1.47,1.65,1.94,1.5,1.64,2.632,1.48,2.285,2.495,2.69,2.69,2.618,2.575,1.219,1.547,2.09,1.866,2.873,8.724,2.878,1.4,0.97
2022-03-01,1.25,1.244,1.244,1.47,1.67,1.99,1.5,1.64,2.733,1.586,2.369,2.6,2.784,2.783,2.693,2.675,1.216,1.583,2.105,1.934,3.028,8.858,3.031,1.43,0.97
2022-04-01,1.297,1.299,1.299,1.6,1.81,2.31,1.64,1.79,3.222,2.002,2.941,3.14,3.219,3.202,3.122,3.1,1.41,1.931,2.736,2.291,3.631,9.471,3.624,1.46,1.08
2022-05-01,1.504,1.505,1.505,1.74,1.94,2.44,1.77,1.95,3.288,2.049,3.019,3.227,3.295,3.26,3.173,3.156,1.535,1.956,2.853,2.382,3.775,9.618,3.776,1.56,1.22
2022-06-01,1.751,1.745,1.745,2.08,2.37,3.02,1.99,2.24,3.705,2.599,3.477,3.651,3.64,3.548,3.415,3.389,1.812,2.508,3.313,3.009,4.233,10.08,4.236,1.77,1.41
2022-07-01,1.953,1.971,1.971,2.51,2.93,3.6,2.41,2.64,3.393,2.958,3.238,3.299,3.3,3.232,3.139,3.104,2.167,2.956,3.204,3.519,4.126,9.976,4.136,2.04,1.68
2022-08-01,2.262,2.263,2.263,2.7,3.12,3.5,2.79,2.91,3.385,2.987,3.247,3.304,3.322,3.296,3.249,3.201,2.407,3.007,3.235,3.428,4.227,10.078,4.23,2.36,1.93
2022-09-01,2.535,2.533,2.533,2.97,3.45,3.94,3.01,3.17,4.027,3.287,3.903,3.94,3.897,3.768,3.69,3.635,2.708,3.397,3.908,3.87,4.9,10.756,4.913,2.62,2.12
2022-10-01,2.917,2.959,2.959,3.52,4.02,4.57,3.69,4.02,4.522,3.602,4.235,4.286,4.267,4.166,4.058,4.003,3.03,3.593,4.246,4.438,5.436,11.288,5.466,3.02,2.44
2022-11-01,3.166,3.096,3.096,4.02,4.59,5,3.99,5.26,4.388,3.838,3.895,3.946,3.915,3.917,3.885,3.867,3.346,3.812,3.987,4.849,5.487,11.331,5.514,3.45,2.66
2022-12-01,3.333,3.235,3.235,4.03,4.45,4.55,4.02,5.52,3.929,3.705,3.63,3.588,3.541,3.54,3.531,3.535,3.444,3.728,3.753,4.321,5.302,11.173,5.275,3.88,2.87
2023-01-01,3.298,3.269,3.269,3.74,3.91,3.95,3.8,4.91,3.643,3.584,3.46,3.418,3.411,3.417,3.414,3.394,3.46,3.556,3.52,3.77,4.704,10.788,4.653,3.98,3
2023-02-01,3.438,3.425,3.425,3.54,3.62,3.67,3.52,4.23,3.609,3.528,3.47,3.471,3.45,3.409,3.379,3.322,3.464,3.539,3.554,3.639,4.274,10.631,4.248,3.9,3.13
2023-03-01,3.386,3.425,3.425,3.59,3.68,3.74,3.61,4.05,3.601,3.452,3.461,3.445,3.448,3.415,3.383,3.332,3.434,3.482,3.53,3.666,4.184,10.595,4.188,3.8,3.1
2023-04-01,3.451,3.467,3.467,3.46,3.5,3.56,3.5,4.01,3.403,3.254,3.263,3.253,3.319,3.313,3.3,3.282,3.241,3.259,3.302,3.488,4.072,10.458,4.072,3.71,3.03
2023-05-01,3.583,3.57,3.57,3.64,3.67,3.7,3.64,4.01,3.539,3.416,3.33,3.323,3.402,3.444,3.442,3.418,3.378,3.404,3.415,3.655,4.139,10.524,4.137,3.69,3.01
2023-06-01,3.564,3.566,3.566,3.77,3.81,3.86,3.75,4.01,3.762,3.511,3.548,3.552,3.611,3.658,3.659,3.636,3.518,3.541,3.623,3.801,4.356,10.744,4.358,3.7,2.97
2023-07-01,3.51,3.51,3.51,3.76,3.81,3.87,3.75,4.03,3.858,3.57,3.638,3.64,3.681,3.648,3.637,3.615,3.586,3.602,3.692,3.827,4.437,10.829,4.433,3.74,2.97
2023-08-01,3.539,3.538,3.538,3.68,3.78,3.86,3.7,4.03,4.001,3.496,3.727,3.771,3.86,3.799,3.753,3.723,3.567,3.594,3.753,3.819,4.5,10.91,4.497,3.72,2.97
2023-09-01,3.595,3.596,3.596,3.76,3.89,3.98,3.76,4.05,4.141,3.61,3.842,3.881,3.949,3.851,3.802,3.772,3.606,3.651,3.865,3.944,4.602,11.022,4.6,3.75,2.97
2023-10-01,3.518,3.517,3.517,3.89,4.04,4.11,3.82,4.21,4.485,3.741,4.031,4.142,4.272,4.193,4.162,4.126,3.637,3.745,3.965,4.067,4.827,11.222,4.833,3.82,2.97
2023-11-01,3.569,3.572,3.572,3.99,4.08,4.1,3.83,4.36,4.117,3.722,3.771,3.818,3.89,3.773,3.727,3.685,3.608,3.687,3.791,4.033,4.583,10.978,4.573,3.88,2.97
2023-12-01,3.635,3.639,3.639,3.92,3.92,3.85,3.83,4.34,3.636,3.516,3.35,3.371,3.415,3.337,3.316,3.28,3.523,3.499,3.438,3.779,4.076,10.529,4.069,4,2.97
2024-01-01,3.472,3.47,3.47,3.71,3.7,3.62,3.74,4.28,3.544,3.384,3.266,3.302,3.353,3.291,3.242,3.215,3.416,3.327,3.328,3.576,4.013,10.453,4.006,3.95,2.97
2024-02-01,3.585,3.582,3.582,3.69,3.68,3.67,3.69,4.28,3.576,3.434,3.351,3.388,3.429,3.394,3.333,3.309,3.431,3.379,3.411,3.617,4.053,10.44,4.036,3.88,2.97
2024-03-01,3.464,3.467,3.467,3.67,3.67,3.65,3.65,4.27,3.506,3.374,3.31,3.342,3.39,3.374,3.295,3.27,3.463,3.365,3.374,3.598,3.944,10.21,3.942,3.81,2.97
2024-04-01,3.52,3.518,3.518,3.57,3.59,3.59,3.57,4.23,3.618,3.44,3.439,3.495,3.567,3.491,3.397,3.375,3.463,3.389,3.444,3.578,3.974,10.189,3.953,3.71,2.97
